转债代码,市场,转债名称,最新价,涨跌额,涨跌幅,买入价,卖出价,昨收价,开盘价,最高价,最低价,成交量(股),成交额(元),成交时间
123267,深市,珂玛转债,247.0,20.488,9.045,247.000,247.055,226.512,235.000,263.909,234.182,11227519,2806134432,15:00:00
118033,沪市,华特转债,217.386,-9.911,-4.36,217.914,218.015,227.297,223.000,227.220,213.000,12326180,2709333839,15:00:00
118060,沪市,瑞可转债,244.016,24.352,11.086,243.010,243.380,219.664,225.000,249.280,216.619,10668190,2570018594,15:00:00
123121,深市,帝尔转债,193.247,-4.653,-2.351,193.220,193.247,197.900,196.812,211.980,191.193,11352738,2287954511,15:00:00
123268,深市,本川转债,189.449,14.251,8.134,189.449,189.499,175.198,175.000,199.981,173.261,11838963,2282843867,15:00:00
123251,深市,华医转债,346.0,28.001,8.805,346.000,346.006,317.999,317.999,359.332,317.327,5765963,2006542099,15:00:00
127080,深市,声迅转债,220.2,14.33,6.961,220.200,220.280,205.870,206.000,224.421,204.120,8155670,1779288471,15:00:00
127055,深市,精装转债,209.598,12.025,6.086,209.598,209.659,197.573,199.154,222.580,199.000,8181656,1735530079,15:00:00
123054,深市,思特转债,156.81,8.81,5.953,156.801,156.810,148.000,156.770,174.567,156.230,9462948,1569826313,15:00:00
123241,深市,欧通转债,1066.58,36.58,3.551,1066.580,1066.660,1030.000,1009.401,1090.477,1009.401,1476340,1568630383,15:00:00
118062,沪市,天准转债,248.909,7.476,3.097,248.764,248.800,241.433,245.020,260.309,245.020,5818000,1479130783,15:00:00
113589,沪市,天创转债,201.119,4.157,2.111,200.190,200.300,196.962,192.000,215.000,191.000,6108580,1262422981,15:00:00
118053,沪市,正帆转债,164.525,3.147,1.95,164.458,164.667,161.378,167.123,172.013,162.195,7432060,1237785196,15:00:00
127096,深市,泰坦转债,335.0,-0.6,-0.179,335.000,335.001,335.600,332.000,358.300,331.124,3162505,1080879473,15:00:00
123126,深市,瑞丰转债,165.38,7.912,5.025,165.349,165.380,157.468,155.466,169.500,154.000,6314347,1047353274,15:00:00
123243,深市,严牌转债,259.998,-17.56,-6.327,259.960,259.998,277.558,266.998,270.000,255.284,3963098,1033341871,15:00:00
113051,沪市,节能转债,164.645,7.313,4.648,164.500,164.554,157.332,155.758,166.300,154.467,6088140,989720597,15:00:00
123131,深市,奥飞转债,307.1,-2.9,-0.935,307.070,307.100,310.000,315.000,320.150,305.018,3013400,946478059,15:00:00
123255,深市,鼎龙转债,327.2,13.735,4.382,327.200,327.300,313.465,326.000,331.800,312.459,2834685,922289144,15:00:00
123225,深市,翔丰转债,157.7,9.812,6.635,157.685,157.700,147.888,157.500,163.803,156.000,5782024,922078941,15:00:00
123176,深市,精测转2,333.698,4.592,1.395,333.698,333.900,329.106,337.900,344.441,328.115,2705150,907981014,15:00:00
113042,沪市,上银转债,117.838,-0.952,-0.801,117.960,117.961,118.790,118.500,118.787,116.852,7200040,847088234,15:00:00
118018,沪市,瑞科转债,156.865,3.264,2.125,156.800,156.884,153.601,154.000,161.672,151.860,5324240,841374074,15:00:00
127070,深市,大中转债,502.6,5.6,1.127,502.588,502.600,497.000,493.040,512.743,487.001,1668630,838659396,15:00:00
123258,深市,胜蓝转02,246.767,5.356,2.219,246.702,246.767,241.411,242.618,251.643,233.618,3398903,834290557,15:00:00
113688,沪市,国检转债,148.144,9.399,6.774,148.156,148.200,138.745,142.901,152.830,139.750,5609850,824974600,15:00:00
118058,沪市,微导转债,339.767,-5.891,-1.704,339.700,339.800,345.658,346.600,357.485,338.590,2289830,799149763,15:00:00
127110,深市,广核转债,147.965,3.464,2.397,147.904,147.965,144.501,144.500,149.444,143.801,5274192,770489802,15:00:00
127024,深市,盈峰转债,170.297,-3.703,-2.128,170.297,170.300,174.000,173.200,178.483,167.800,4295176,733023806,15:00:00
113677,沪市,华懋转债,399.96,5.97,1.515,399.500,399.750,393.990,390.000,410.000,389.485,1793920,717849811,15:00:01
113702,沪市,斯达转债,188.882,0.732,0.389,188.908,188.952,188.150,185.600,190.773,185.002,3733360,703342601,15:00:01
123236,深市,家联转债,161.99,5.369,3.428,161.990,161.998,156.621,157.000,169.770,156.800,3953864,653055130,15:00:00
127066,深市,科利转债,139.888,6.768,5.084,139.888,139.900,133.120,133.120,140.639,133.000,4711239,651385495,15:00:00
127044,深市,蒙娜转债,132.07,-5.928,-4.296,132.051,132.070,137.998,132.700,134.765,128.046,4861312,637907438,15:00:00
118057,沪市,甬矽转债,170.992,-8.841,-4.916,170.950,171.059,179.833,178.754,181.998,170.110,3552780,628457171,15:00:01
113678,沪市,中贝转债,194.496,4.105,2.156,194.822,194.900,190.391,193.500,196.280,189.800,3176390,616128084,15:00:00
113048,沪市,晶科转债,165.919,-7.773,-4.475,165.910,165.918,173.692,173.000,177.500,164.450,3615090,615944116,15:00:00
110084,沪市,贵燃转债,142.185,6.43,4.736,142.056,142.204,135.755,135.509,143.222,135.509,4309500,607944857,15:00:01
113697,沪市,应流转债,300.396,4.618,1.561,301.000,301.199,295.778,292.000,311.368,288.000,1981140,597983156,15:00:00
111010,沪市,立昂转债,148.656,-4.509,-2.944,148.597,148.630,153.165,152.874,154.697,147.601,3955520,597289633,15:00:01
113052,沪市,兴业转债,116.503,-0.608,-0.519,116.500,116.545,117.111,117.103,117.185,115.848,5090620,592771261,15:00:01
111000,沪市,起帆转债,240.971,-1.133,-0.468,240.668,240.900,242.104,241.000,249.000,238.600,2389840,581044812,15:00:01
113615,沪市,金诚转债,629.989,-0.781,-0.124,630.689,630.770,630.770,616.996,637.044,603.328,879660,547402518,14:59:59
123259,深市,锦浪转02,182.0,4.874,2.752,181.991,182.000,177.126,176.789,187.209,175.200,2634791,480545312,15:00:00
118013,沪市,道通转债,238.302,8.434,3.669,238.569,238.761,229.868,229.842,245.349,229.148,1925300,464504528,15:00:00
128137,深市,洁美转债,201.9,1.8,0.9,201.860,201.900,200.100,200.600,209.778,193.935,2252428,457729468,15:00:00
127037,深市,银轮转债,614.432,11.533,1.913,614.430,614.432,602.899,599.043,623.800,596.100,721190,442383702,15:00:00
111001,沪市,山玻转债,159.877,-1.465,-0.908,159.824,159.865,161.342,159.004,162.900,157.444,2725230,437173692,15:00:01
123235,深市,亿田转债,200.399,-3.586,-1.758,200.396,200.399,203.985,203.597,214.510,197.526,2122590,433632262,15:00:00
123118,深市,惠城转债,494.1,6.6,1.354,494.001,494.100,487.500,488.300,511.339,483.202,823820,410679141,15:00:00
111005,沪市,富春转债,146.971,-9.252,-5.922,146.990,146.999,156.223,154.300,154.623,145.800,2759360,410125896,15:00:00
123107,深市,温氏转债,117.2,-0.6,-0.509,117.200,117.232,117.800,117.700,118.213,116.401,3468928,406711674,15:00:00
123160,深市,泰福转债,169.7,3.49,2.1,169.681,169.700,166.210,166.150,174.974,164.205,2289429,392251628,15:00:00
118056,沪市,路维转债,269.681,-0.332,-0.123,269.396,269.580,270.013,273.000,279.559,263.512,1437750,389411011,15:00:01
118041,沪市,星球转债,158.212,-5.57,-3.401,158.158,158.174,163.782,160.500,164.414,155.500,2448000,389127424,15:00:00
123158,深市,宙邦转债,188.8,5.741,3.136,188.800,188.805,183.059,183.100,190.998,180.340,2072910,388234990,15:00:00
118050,沪市,航宇转债,340.395,-1.558,-0.456,340.438,340.500,341.953,339.000,354.500,338.007,1113370,385843799,15:00:01
123247,深市,万凯转债,294.089,5.089,1.761,294.089,294.200,289.000,290.000,304.200,285.932,1277634,378817765,15:00:00
118030,沪市,睿创转债,429.005,-2.703,-0.626,429.000,429.268,431.708,426.000,444.600,426.000,847320,369471920,15:00:01
113039,沪市,嘉泽转债,219.632,-9.844,-4.29,219.601,219.644,229.476,229.960,231.400,215.332,1626850,364225277,15:00:00
110092,沪市,三房转债,66.284,-3.769,-5.38,66.129,66.131,70.053,69.150,69.920,66.025,5273380,354945806,15:00:00
113667,沪市,春23转债,240.548,-6.84,-2.765,240.346,240.370,247.388,244.300,251.800,239.001,1372850,337386211,15:00:00
110074,沪市,精达转债,452.919,-5.824,-1.27,452.409,452.748,458.743,457.650,464.699,449.187,731330,334672037,15:00:00
123245,深市,集智转债,374.601,3.014,0.811,374.600,374.793,371.587,368.010,376.800,360.929,896100,332542810,15:00:00
118044,沪市,赛特转债,207.182,8.17,4.105,206.792,207.238,199.012,198.610,213.100,196.116,1594450,332205281,15:00:01
123269,深市,金杨转债,167.5,6.024,3.731,167.500,167.617,161.476,161.021,170.900,160.990,1938097,324581398,15:00:00
113046,沪市,金田转债,140.705,0.633,0.452,140.590,140.700,140.072,138.984,143.888,138.003,2148780,303991272,15:00:01
118034,沪市,晶能转债,127.14,-0.326,-0.256,127.110,127.167,127.466,127.250,128.538,126.501,2384020,303990061,15:00:00
110081,沪市,闻泰转债,88.237,-0.502,-0.566,88.255,88.256,88.739,88.799,89.332,87.900,3408620,301690944,15:00:00
118025,沪市,奕瑞转债,149.787,-0.201,-0.134,149.751,149.800,149.988,151.321,152.386,148.448,1924580,289005595,15:00:00
111012,沪市,福新转债,408.119,-4.082,-0.99,408.000,408.004,412.201,415.000,415.900,406.773,698510,287315385,15:00:00
128136,深市,立讯转债,142.778,-0.904,-0.629,142.778,142.915,143.682,143.999,144.342,141.141,1935160,276925596,15:00:00
118064,沪市,联瑞转债,262.025,3.428,1.326,262.000,262.262,258.597,258.000,264.880,252.770,1010630,263910630,15:00:01
127089,深市,晶澳转债,122.75,-1.95,-1.564,122.750,122.786,124.700,124.480,124.799,122.307,2131840,263619627,15:00:00
127053,深市,豪美转债,201.128,3.637,1.842,201.102,201.128,197.491,197.000,207.914,191.001,1312931,263455245,15:00:00
110095,沪市,双良转债,138.98,-3.251,-2.286,138.910,138.990,142.231,142.000,142.803,138.610,1848110,259671028,15:00:01
118027,沪市,宏图转债,76.211,-0.634,-0.825,76.150,76.186,76.845,76.876,79.617,75.050,3141370,243971883,15:00:01
127088,深市,赫达转债,192.461,-0.539,-0.279,192.460,192.481,193.000,193.080,198.255,190.600,1245960,243155313,15:00:00
113054,沪市,绿动转债,137.391,3.351,2.5,137.495,137.499,134.040,133.501,138.426,133.000,1769870,242761888,15:00:00
113043,沪市,财通转债,123.818,-3.625,-2.844,123.800,123.898,127.443,128.000,128.400,123.030,1891170,236161906,15:00:01
127018,深市,本钢转债,118.393,0.033,0.028,118.390,118.393,118.360,118.330,118.422,118.302,1989848,235481059,15:00:00
113605,沪市,大参转债,117.117,-3.907,-3.228,117.098,117.164,121.024,121.020,121.333,116.380,1986860,233692278,15:00:01
113644,沪市,艾迪转债,142.889,1.943,1.379,142.900,142.921,140.946,141.446,143.998,138.728,1605010,229331581,15:00:00
113056,沪市,重银转债,127.789,0.12,0.094,127.720,127.827,127.669,127.669,128.379,127.069,1792160,229020893,15:00:01
123155,深市,中陆转债,146.5,4.21,2.959,146.496,146.500,142.290,142.157,148.124,141.249,1563171,229016499,15:00:00
113686,沪市,泰瑞转债,158.369,3.226,2.079,158.130,158.345,155.143,155.770,161.612,152.500,1441770,227911489,15:00:01
110075,沪市,南航转债,109.475,-0.835,-0.757,109.403,109.404,110.310,110.153,110.403,108.900,2064020,225775200,15:00:00
127049,深市,希望转2,111.8,-1.2,-1.062,111.800,111.816,113.000,112.799,113.311,111.100,1991046,223143472,15:00:00
118063,沪市,金05转债,179.428,4.557,2.606,179.410,179.422,174.871,173.880,181.797,173.830,1199250,215849985,15:00:01
123091,深市,长海转债,138.139,-2.861,-2.029,138.106,138.139,141.000,141.100,143.500,138.047,1501878,210962713,15:00:00
127084,深市,柳工转2,137.099,1.293,0.952,137.040,137.099,135.806,135.968,137.500,135.082,1516835,207443558,15:00:00
118004,沪市,Z博瑞转,175.848,-3.078,-1.72,175.800,175.817,178.926,179.001,181.706,174.800,1165640,207252412,15:00:01
127079,深市,华亚转债,208.229,4.085,2.001,208.220,208.229,204.144,201.093,212.492,201.043,993573,207080843,15:00:00
127090,深市,兴瑞转债,143.0,2.936,2.096,142.902,143.000,140.064,140.080,143.362,137.301,1472777,206799110,15:00:00
118016,沪市,京源转债,173.783,-2.118,-1.204,173.701,173.904,175.901,176.500,182.901,173.298,1166440,206744171,15:00:00
113673,沪市,岱美转债,183.355,0.781,0.428,183.889,184.498,182.574,182.570,185.702,173.992,1130490,204462117,15:00:01
127067,深市,恒逸转2,174.777,-0.723,-0.412,174.429,174.777,175.500,177.332,178.000,172.385,1167714,203748997,15:00:00
127045,深市,牧原转债,125.4,-1.95,-1.531,125.400,125.450,127.350,127.500,127.500,125.020,1564115,197068335,15:00:00
127030,深市,盛虹转债,121.161,-2.839,-2.29,121.161,121.199,124.000,123.550,124.136,120.311,1603030,195511525,15:00:00
111013,沪市,新港转债,126.594,-3.823,-2.931,126.590,126.597,130.417,129.820,130.000,125.000,1499980,190183541,14:59:59
118031,沪市,天23转债,128.092,-0.597,-0.464,128.024,128.156,128.689,128.301,129.480,127.850,1479150,190038713,15:00:01
118061,沪市,茂莱转债,234.731,-1.563,-0.661,233.900,234.000,236.294,232.000,240.550,231.300,795020,188129557,15:00:00
113588,沪市,润达转债,113.793,-1.205,-1.048,113.750,113.760,114.998,115.585,117.930,112.633,1617560,186846472,15:00:01
113053,沪市,隆22转债,125.288,-3.356,-2.609,125.280,125.348,128.644,128.000,128.886,125.200,1465310,186056665,15:00:01
123263,深市,鼎捷转债,157.9,1.151,0.734,157.870,157.900,156.749,156.451,159.998,155.110,1111357,175849110,15:00:00
113597,沪市,佳力转债,131.932,-3.957,-2.912,131.904,131.920,135.889,135.389,137.000,130.670,1307710,174628240,15:00:01
123138,深市,丝路转债,137.7,2.76,2.045,137.700,137.770,134.940,135.643,140.185,134.823,1262230,174164315,15:00:00
127092,深市,运机转债,310.905,-11.805,-3.658,310.900,311.205,322.710,322.711,323.355,306.800,549030,172647590,15:00:00
123187,深市,超达转债,268.6,4.482,1.697,268.600,268.605,264.118,265.270,270.000,260.940,640590,170380116,15:00:00
